Build version,values/strings.xml,7,Delversjon,values-no/strings.xml,2,packages/apps/Dialer,java/com/android/dialer/about/res
License details for open source software,values/strings.xml,15,Lisensdetaljer for programvare med åpen kildekode,values-no/strings.xml,3,packages/apps/Dialer,java/com/android/dialer/about/res
Open source licenses,values/strings.xml,19,Lisenser for åpen kildekode,values-no/strings.xml,4,packages/apps/Dialer,java/com/android/dialer/about/res
Privacy policy,values/strings.xml,25,Personvernregler,values-no/strings.xml,5,packages/apps/Dialer,java/com/android/dialer/about/res
Terms of service,values/strings.xml,31,Vilkår for bruk,values-no/strings.xml,6,packages/apps/Dialer,java/com/android/dialer/about/res
Phone,values/strings.xml,23,Telefon,values-no/strings.xml,3,packages/apps/Dialer,java/com/android/dialer/app/res
Phone Keypad,values/strings.xml,26,Telefontastatur,values-no/strings.xml,4,packages/apps/Dialer,java/com/android/dialer/app/res
Call history,values/strings.xml,34,Anropslogg,values-no/strings.xml,5,packages/apps/Dialer,java/com/android/dialer/app/res
Copy number,values/strings.xml,37,Kopiér nummeret,values-no/strings.xml,6,packages/apps/Dialer,java/com/android/dialer/app/res
Copy transcription,values/strings.xml,40,Kopiér transkripsjonen,values-no/strings.xml,7,packages/apps/Dialer,java/com/android/dialer/app/res
Edit number before call,values/strings.xml,43,Endre nummeret før du ringer,values-no/strings.xml,8,packages/apps/Dialer,java/com/android/dialer/app/res
Clear call history,values/strings.xml,46,Slett anropsloggen,values-no/strings.xml,9,packages/apps/Dialer,java/com/android/dialer/app/res
Delete voicemail,values/strings.xml,49,Slett talepost,values-no/strings.xml,10,packages/apps/Dialer,java/com/android/dialer/app/res
Voicemail deleted,values/strings.xml,52,Taleposten er slettet,values-no/strings.xml,11,packages/apps/Dialer,java/com/android/dialer/app/res
Clear call history?,values/strings.xml,55,Vil du slette anropsloggen?,values-no/strings.xml,12,packages/apps/Dialer,java/com/android/dialer/app/res
This will delete all calls from your history,values/strings.xml,58,Dette sletter alle anrop fra loggen,values-no/strings.xml,13,packages/apps/Dialer,java/com/android/dialer/app/res
Clearing call history\u2026,values/strings.xml,61,Sletter anropsloggen …,values-no/strings.xml,14,packages/apps/Dialer,java/com/android/dialer/app/res
Missed call,values/strings.xml,65,Tapt anrop,values-no/strings.xml,15,packages/apps/Dialer,java/com/android/dialer/app/res
Missed work call,values/strings.xml,67,Tapt jobbanrop,values-no/strings.xml,16,packages/apps/Dialer,java/com/android/dialer/app/res
Missed calls,values/strings.xml,69,Tapte anrop,values-no/strings.xml,17,packages/apps/Dialer,java/com/android/dialer/app/res
%d missed calls,values/strings.xml,71,%d tapte anrop,values-no/strings.xml,18,packages/apps/Dialer,java/com/android/dialer/app/res
Call back,values/strings.xml,75,Ring tilbake,values-no/strings.xml,19,packages/apps/Dialer,java/com/android/dialer/app/res
Message,values/strings.xml,79,Melding,values-no/strings.xml,20,packages/apps/Dialer,java/com/android/dialer/app/res
%1$s: %2$s,values/strings.xml,83,%1$s: %2$s,values-no/strings.xml,21,packages/apps/Dialer,java/com/android/dialer/app/res
Dial %s,values/strings.xml,87,Ring %s,values-no/strings.xml,22,packages/apps/Dialer,java/com/android/dialer/app/res
Voicemail number unknown,values/strings.xml,90,Mangler nummer til talepostkasse,values-no/strings.xml,23,packages/apps/Dialer,java/com/android/dialer/app/res
Voicemail,values/strings.xml,93,talemelding,values-no/strings.xml,25,packages/apps/Dialer,java/com/android/dialer/app/res
 %1$d Voicemails ,values/strings.xml,94,%1$d talemeldinger ,values-no/strings.xml,26,packages/apps/Dialer,java/com/android/dialer/app/res
"%1$s, %2$s ",values/strings.xml,108,"%1$s, %2$s",values-no/strings.xml,28,packages/apps/Dialer,java/com/android/dialer/app/res
New voicemail from %1$s ,values/strings.xml,113,Ny talemelding fra %1$s,values-no/strings.xml,29,packages/apps/Dialer,java/com/android/dialer/app/res
Couldn't play voicemail,values/strings.xml,118,Kunne ikke spille av talepost,values-no/strings.xml,30,packages/apps/Dialer,java/com/android/dialer/app/res
Loading voicemail\u2026,values/strings.xml,121,Laster inn talepost …,values-no/strings.xml,31,packages/apps/Dialer,java/com/android/dialer/app/res
Couldn't load voicemail,values/strings.xml,124,Kunne ikke laste inn taleposten,values-no/strings.xml,32,packages/apps/Dialer,java/com/android/dialer/app/res
(%1$d) %2$s ,values/strings.xml,127,(%1$d) %2$s,values-no/strings.xml,33,packages/apps/Dialer,java/com/android/dialer/app/res
Switch on or off speakerphone,values/strings.xml,135,Slå høyttaleren på eller av,values-no/strings.xml,34,packages/apps/Dialer,java/com/android/dialer/app/res
Seek playback position,values/strings.xml,141,Søk etter avspillingsposisjon,values-no/strings.xml,35,packages/apps/Dialer,java/com/android/dialer/app/res
Call history,values/strings.xml,145,Anropslogg,values-no/strings.xml,36,packages/apps/Dialer,java/com/android/dialer/app/res
More options,values/strings.xml,151,Flere alternativer,values-no/strings.xml,37,packages/apps/Dialer,java/com/android/dialer/app/res
key pad,values/strings.xml,155,Tastatur,values-no/strings.xml,38,packages/apps/Dialer,java/com/android/dialer/app/res
Settings,values/strings.xml,158,Innstillinger,values-no/strings.xml,39,packages/apps/Dialer,java/com/android/dialer/app/res
Simulator,values/strings.xml,162,Simulator,values-no/strings.xml,40,packages/apps/Dialer,java/com/android/dialer/app/res
Create New UI Shortcut,values/strings.xml,165,Nytt grensesnitt – lag snarvei,values-no/strings.xml,41,packages/apps/Dialer,java/com/android/dialer/app/res
Entering bulk action mode,values/strings.xml,172,Starter massehandlingsmodus,values-no/strings.xml,42,packages/apps/Dialer,java/com/android/dialer/app/res
Left bulk action mode,values/strings.xml,179,Massehandlingsmodus er avsluttet,values-no/strings.xml,43,packages/apps/Dialer,java/com/android/dialer/app/res
Selected %1$s,values/strings.xml,186,Du har valgt %1$s,values-no/strings.xml,44,packages/apps/Dialer,java/com/android/dialer/app/res
Unselected %1$s,values/strings.xml,193,Du har valgt bort %1$s,values-no/strings.xml,45,packages/apps/Dialer,java/com/android/dialer/app/res
Contact details for %1$s,values/strings.xml,200,Kontaktinformasjon for %1$s,values-no/strings.xml,46,packages/apps/Dialer,java/com/android/dialer/app/res
Contact details for suspected spam caller %1$s,values/strings.xml,208,Kontaktdetaljer for den potensielt useriøse oppringeren %1$s,values-no/strings.xml,47,packages/apps/Dialer,java/com/android/dialer/app/res
%1$s calls.,values/strings.xml,215,%1$s samtaler.,values-no/strings.xml,48,packages/apps/Dialer,java/com/android/dialer/app/res
Video call.,values/strings.xml,223,Videoanrop.,values-no/strings.xml,49,packages/apps/Dialer,java/com/android/dialer/app/res
Start voice search,values/strings.xml,226,Start talesøk,values-no/strings.xml,50,packages/apps/Dialer,java/com/android/dialer/app/res
Voicemail,values/strings.xml,229,Telefonsvarer,values-no/strings.xml,51,packages/apps/Dialer,java/com/android/dialer/app/res
Cancel batch actions mode,values/strings.xml,234,Avbryt massehandlinsmodus,values-no/strings.xml,52,packages/apps/Dialer,java/com/android/dialer/app/res
Delete,values/strings.xml,236,Slett,values-no/strings.xml,53,packages/apps/Dialer,java/com/android/dialer/app/res
Cancel,values/strings.xml,237,Avbryt,values-no/strings.xml,54,packages/apps/Dialer,java/com/android/dialer/app/res
%1$s selected,values/strings.xml,239,%1$s er valgt,values-no/strings.xml,55,packages/apps/Dialer,java/com/android/dialer/app/res
Delete this voicemail? ,values/strings.xml,243,Vil du slette denne talemeldingen? ,values-no/strings.xml,57,packages/apps/Dialer,java/com/android/dialer/app/res
Delete these voicemails? ,values/strings.xml,244,Vil du slette disse talemeldingene? ,values-no/strings.xml,58,packages/apps/Dialer,java/com/android/dialer/app/res
@string/call_log_header_today,values/strings.xml,250,@string/call_log_header_today,values-no/strings.xml,60,packages/apps/Dialer,java/com/android/dialer/app/res
%1$s at %2$s,values/strings.xml,254,%1$s kl. %2$s,values-no/strings.xml,61,packages/apps/Dialer,java/com/android/dialer/app/res
%1$02d:%2$02d,values/strings.xml,257,%1$02d:%2$02d,values-no/strings.xml,62,packages/apps/Dialer,java/com/android/dialer/app/res
%1$s \u2022 %2$s,values/strings.xml,260,%1$s • %2$s,values-no/strings.xml,63,packages/apps/Dialer,java/com/android/dialer/app/res
Voice search not available,values/strings.xml,263,Talesøk er ikke tilgjengelig,values-no/strings.xml,64,packages/apps/Dialer,java/com/android/dialer/app/res
Search contacts,values/strings.xml,267,Søk i kontakter,values-no/strings.xml,65,packages/apps/Dialer,java/com/android/dialer/app/res
Add number or search contacts,values/strings.xml,271,Legg til nummer eller søk etter kontakter,values-no/strings.xml,66,packages/apps/Dialer,java/com/android/dialer/app/res
Your call history is empty,values/strings.xml,274,Anropsloggen er tom,values-no/strings.xml,67,packages/apps/Dialer,java/com/android/dialer/app/res
Make a call,values/strings.xml,277,Start en samtale,values-no/strings.xml,68,packages/apps/Dialer,java/com/android/dialer/app/res
You have no missed calls.,values/strings.xml,280,Du har ingen tapte anrop.,values-no/strings.xml,69,packages/apps/Dialer,java/com/android/dialer/app/res
Your voicemail inbox is empty.,values/strings.xml,283,Talepostkassen din er tom.,values-no/strings.xml,70,packages/apps/Dialer,java/com/android/dialer/app/res
Call History,values/strings.xml,286,Anropslogg,values-no/strings.xml,71,packages/apps/Dialer,java/com/android/dialer/app/res
All,values/strings.xml,290,Alle,values-no/strings.xml,72,packages/apps/Dialer,java/com/android/dialer/app/res
Missed,values/strings.xml,294,Ubesvarte,values-no/strings.xml,73,packages/apps/Dialer,java/com/android/dialer/app/res
Speed dial,values/strings.xml,298,Hurtigvalg,values-no/strings.xml,74,packages/apps/Dialer,java/com/android/dialer/app/res
Call History,values/strings.xml,301,Anropslogg,values-no/strings.xml,75,packages/apps/Dialer,java/com/android/dialer/app/res
Contacts,values/strings.xml,304,Kontakter,values-no/strings.xml,76,packages/apps/Dialer,java/com/android/dialer/app/res
Voicemail,values/strings.xml,307,Talepostkasse,values-no/strings.xml,77,packages/apps/Dialer,java/com/android/dialer/app/res
Call %s ,values/strings.xml,310,Ring %s,values-no/strings.xml,78,packages/apps/Dialer,java/com/android/dialer/app/res
Create new contact,values/strings.xml,316,Opprett ny kontakt,values-no/strings.xml,79,packages/apps/Dialer,java/com/android/dialer/app/res
Add to a contact,values/strings.xml,320,Legg til for en kontakt,values-no/strings.xml,80,packages/apps/Dialer,java/com/android/dialer/app/res
Send SMS,values/strings.xml,323,Send SMS,values-no/strings.xml,81,packages/apps/Dialer,java/com/android/dialer/app/res
Make video call,values/strings.xml,326,Start en videosamtale,values-no/strings.xml,82,packages/apps/Dialer,java/com/android/dialer/app/res
